Time,Initial Cost,Minimized Cost,Error Rate
55.42663,45406.0,6941.0,13.6007
52.63441,46982.0,6817.0,11.5712
52.62285,47155.0,6999.0,14.5499
52.73940,47239.0,6788.0,11.0966
52.55103,45414.0,6919.0,13.2406
53.49609,48420.0,7071.0,15.7283
52.51307,46502.0,6938.0,13.5516
52.71111,43724.0,7045.0,15.3028
52.61783,46701.0,6834.0,11.8494
52.74952,44314.0,6969.0,14.0589
52.68244,46889.0,7010.0,14.7300
52.76328,43134.0,6924.0,13.3224
52.58081,47304.0,7198.0,17.8069
53.23174,46398.0,7017.0,14.8445
52.70812,49522.0,6817.0,11.5712
52.91009,47497.0,7347.0,20.2455
52.95912,48544.0,7158.0,17.1522
53.29204,44649.0,6802.0,11.3257
52.69130,46735.0,6908.0,13.0606
52.95464,46706.0,7096.0,16.1375
AVG TIME,52.941776000000004
MIN_COST,6788.0
AVG_COST,6979.9
MIN_ERR ,11.0966
AVG_ERR ,14.237324999999998
MAX_ITERS,75
#ANTS,10
DECAY,0.4
C_LOCAL_PHER,0.4
C_HEUR,3.0
C_GREED,1.0
