Time,Initial Cost,Minimized Cost,Error Rate
6.19839,3078.0,773.0,10.5866
6.07952,3487.0,782.0,11.8741
6.16464,3110.0,773.0,10.5866
6.10032,2863.0,766.0,9.5851
6.15209,3380.0,769.0,10.0143
6.19547,3156.0,733.0,4.8641
6.16203,2947.0,743.0,6.2947
6.08726,3200.0,794.0,13.5908
6.18154,2921.0,770.0,10.1574
6.09720,3482.0,745.0,6.5808
6.19018,3147.0,763.0,9.1559
6.14044,3288.0,768.0,9.8712
6.11590,3140.0,772.0,10.4435
6.17009,3258.0,775.0,10.8727
6.24156,2970.0,720.0,3.0043
6.11742,3231.0,728.0,4.1488
6.16305,3078.0,755.0,8.0114
6.48345,3083.0,759.0,8.5837
6.36124,3264.0,730.0,4.4349
6.08487,3214.0,765.0,9.4421
AVG TIME,6.174332999999999
MIN_COST,720.0
AVG_COST,759.15
MIN_ERR ,3.0043
AVG_ERR ,8.60515
MAX_ITERS,75
#ANTS,10
DECAY,0.4
C_LOCAL_PHER,0.4
C_HEUR,3.0
C_GREED,1.0
