Time,Initial Cost,Minimized Cost,Error Rate
30.98563,3391.0,746.0,18.6010
30.70258,3469.0,713.0,13.3545
30.68448,3262.0,727.0,15.5803
30.75588,3361.0,712.0,13.1955
30.66560,3527.0,716.0,13.8315
30.68694,3137.0,743.0,18.1240
30.75726,3316.0,748.0,18.9189
30.68810,3340.0,738.0,17.3291
30.63959,3682.0,732.0,16.3752
30.69335,3096.0,740.0,17.6471
30.56236,3276.0,745.0,18.4420
30.63555,3234.0,743.0,18.1240
30.57979,3560.0,740.0,17.6471
30.68515,3374.0,736.0,17.0111
30.56822,3364.0,713.0,13.3545
30.58493,3455.0,696.0,10.6518
30.51364,3340.0,736.0,17.0111
31.47573,3538.0,709.0,12.7186
30.66697,3455.0,746.0,18.6010
30.64997,3785.0,710.0,12.8776
AVG TIME,30.709086000000003
MIN_COST,696.0
AVG_COST,729.45
MIN_ERR ,10.6518
AVG_ERR ,15.969795
MAX_ITERS,75
#ANTS,10
DECAY,0.4
C_LOCAL_PHER,0.4
C_HEUR,3.0
C_GREED,1.0
