Time,Initial Cost,Minimized Cost,Error Rate
134.63378,343389.0,34539.0,17.6076
134.62605,343356.0,35568.0,21.1114
134.47051,330092.0,35947.0,22.4019
135.14510,340014.0,35145.0,19.6711
134.57943,354460.0,36472.0,24.1896
137.56833,332277.0,36673.0,24.8740
134.21659,354957.0,36345.0,23.7572
135.33932,352715.0,34497.0,17.4646
133.45211,332151.0,36311.0,23.6414
134.64046,325690.0,32219.0,9.7078
134.86399,319251.0,34800.0,18.4963
134.04366,336768.0,34142.0,16.2558
134.12262,344199.0,34264.0,16.6712
134.23040,331846.0,34168.0,16.3443
134.05196,314541.0,34541.0,17.6144
134.26080,352087.0,35381.0,20.4747
134.12472,350456.0,34580.0,17.7472
134.31265,336282.0,33348.0,13.5522
134.39583,342745.0,35802.0,21.9082
134.00628,338891.0,35855.0,22.0887
AVG TIME,134.5542295
MIN_COST,32219.0
AVG_COST,35029.85
MIN_ERR ,9.7078
AVG_ERR ,19.278979999999997
MAX_ITERS,75
#ANTS,10
DECAY,0.4
C_LOCAL_PHER,0.4
C_HEUR,3.0
C_GREED,1.0
