Time,Initial Cost,Minimized Cost,Error Rate
33.84730,605432.0,46155.0,4.1803
33.81582,557542.0,46623.0,5.2367
33.82670,557329.0,46781.0,5.5933
33.80543,619800.0,46760.0,5.5459
33.80071,510199.0,47381.0,6.9476
33.75928,585719.0,47006.0,6.1012
33.79563,600827.0,46169.0,4.2119
33.80724,591208.0,47550.0,7.3291
33.77883,628879.0,47386.0,6.9589
33.81635,646690.0,47387.0,6.9612
33.73114,606275.0,46471.0,4.8936
34.44293,577526.0,47888.0,8.0920
33.70226,570897.0,46774.0,5.5775
33.63540,540581.0,46959.0,5.9951
34.13159,602547.0,47660.0,7.5774
33.98285,584144.0,47662.0,7.5819
33.76245,608425.0,46525.0,5.0155
33.65722,610763.0,47175.0,6.4826
33.79557,610526.0,47353.0,6.8844
33.82959,559722.0,46697.0,5.4037
AVG TIME,33.836214500000004
MIN_COST,46155.0
AVG_COST,47018.1
MIN_ERR ,4.1803
AVG_ERR ,6.12849
MAX_ITERS,75
#ANTS,10
DECAY,0.4
C_LOCAL_PHER,0.4
C_HEUR,3.0
C_GREED,1.0
