Time,Initial Cost,Minimized Cost,Error Rate
6.42361,28889.0,8437.0,11.8669
6.94066,29334.0,7825.0,3.7523
7.05739,30711.0,8434.0,11.8271
6.46858,32332.0,8634.0,14.4789
6.97844,29824.0,8242.0,9.2814
6.41320,32249.0,8894.0,17.9263
6.35647,28170.0,8076.0,7.0804
6.36308,31465.0,8874.0,17.6611
6.35178,30063.0,8816.0,16.8921
6.36365,28962.0,8489.0,12.5564
6.36617,30409.0,8291.0,9.9311
6.35233,26954.0,8108.0,7.5046
6.33960,32381.0,8536.0,13.1795
6.34958,29480.0,8251.0,9.4007
6.39815,29465.0,7727.0,2.4529
6.37279,28529.0,8479.0,12.4238
6.36048,30654.0,8297.0,10.0106
6.33815,28824.0,8094.0,7.3190
6.36953,33011.0,8644.0,14.6115
6.36346,30202.0,8000.0,6.0727
AVG TIME,6.466354999999998
MIN_COST,7727.0
AVG_COST,8357.4
MIN_ERR ,2.4529
AVG_ERR ,10.811465000000002
MAX_ITERS,100
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,1.0
