Time,Initial Cost,Minimized Cost,Error Rate
45.73913,43154.0,7185.0,17.5941
45.66543,45285.0,7303.0,19.5254
45.76427,43572.0,6927.0,13.3715
45.61680,42547.0,6903.0,12.9787
45.59645,46339.0,7158.0,17.1522
46.97487,46826.0,7302.0,19.5090
47.87278,48148.0,7406.0,21.2111
45.81432,48640.0,7336.0,20.0655
45.86983,47149.0,6835.0,11.8658
46.10243,46147.0,7143.0,16.9067
46.15150,46322.0,7252.0,18.6907
45.99412,47550.0,7257.0,18.7725
45.89061,44528.0,7034.0,15.1227
46.16821,45902.0,7262.0,18.8543
46.02723,44100.0,7218.0,18.1342
45.87504,44849.0,7262.0,18.8543
46.01031,45493.0,7230.0,18.3306
46.33966,48527.0,6815.0,11.5385
51.78322,47372.0,7220.0,18.1669
45.54816,44173.0,7335.0,20.0491
AVG TIME,46.340218500000006
MIN_COST,6815.0
AVG_COST,7169.15
MIN_ERR ,11.5385
AVG_ERR ,17.334690000000002
MAX_ITERS,100
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,1.0
