Time,Initial Cost,Minimized Cost,Error Rate
4.21168,2670.0,864.0,23.6052
4.17689,2906.0,839.0,20.0286
4.16871,3001.0,845.0,20.8870
4.16508,3046.0,790.0,13.0186
4.16141,3223.0,843.0,20.6009
4.15713,2680.0,806.0,15.3076
4.16310,2966.0,831.0,18.8841
4.15745,2481.0,798.0,14.1631
4.15485,3322.0,803.0,14.8784
4.15058,3023.0,848.0,21.3162
4.14349,3065.0,812.0,16.1660
4.13897,3054.0,788.0,12.7325
4.14899,3172.0,789.0,12.8755
4.14280,3036.0,815.0,16.5951
4.14592,3091.0,853.0,22.0315
4.13899,2926.0,824.0,17.8827
4.14935,3218.0,757.0,8.2976
4.14838,2709.0,839.0,20.0286
4.15608,3064.0,799.0,14.3062
4.15304,3453.0,875.0,25.1788
AVG TIME,4.1566445000000005
MIN_COST,757.0
AVG_COST,820.9
MIN_ERR ,8.2976
AVG_ERR ,17.439209999999996
MAX_ITERS,100
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,1.0
