Time,Initial Cost,Minimized Cost,Error Rate
26.25743,3332.0,744.0,18.2830
26.26999,3165.0,719.0,14.3084
26.19302,3225.0,782.0,24.3243
26.17519,3414.0,729.0,15.8983
26.17484,3337.0,786.0,24.9603
26.13221,3563.0,743.0,18.1240
26.19726,3150.0,726.0,15.4213
26.19756,3393.0,764.0,21.4626
26.59644,3356.0,774.0,23.0525
26.26018,3345.0,761.0,20.9857
26.97826,3475.0,728.0,15.7393
26.23903,3352.0,786.0,24.9603
26.23184,3417.0,771.0,22.5755
26.16747,3390.0,766.0,21.7806
26.21499,3430.0,740.0,17.6471
26.46670,3433.0,750.0,19.2369
26.46152,3272.0,761.0,20.9857
26.22444,3366.0,706.0,12.2417
26.52409,3435.0,795.0,26.3911
26.24918,3533.0,742.0,17.9650
AVG TIME,26.310582
MIN_COST,706.0
AVG_COST,753.65
MIN_ERR ,12.2417
AVG_ERR ,19.81718
MAX_ITERS,100
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,1.0
