Time,Initial Cost,Minimized Cost,Error Rate
29.05298,578103.0,47106.0,6.3269
29.23926,580973.0,47318.0,6.8054
29.02777,604396.0,46935.0,5.9409
29.07251,537120.0,47764.0,7.8121
29.00742,563947.0,46952.0,5.9793
28.98965,569058.0,47555.0,7.3404
29.32596,561314.0,46825.0,5.6926
29.17922,620231.0,48690.0,9.9023
29.10356,538279.0,49687.0,12.1527
29.09158,537972.0,49908.0,12.6515
28.97237,549304.0,49259.0,11.1866
29.23194,583038.0,47320.0,6.8099
29.02013,580687.0,47027.0,6.1486
28.73789,493159.0,47193.0,6.5233
28.75919,567337.0,49151.0,10.9428
28.89516,561060.0,47434.0,7.0672
28.83431,566140.0,48369.0,9.1777
28.79620,550786.0,46330.0,4.5753
29.06717,566442.0,47114.0,6.3449
29.03298,549572.0,46773.0,5.5752
AVG TIME,29.021862500000005
MIN_COST,46330.0
AVG_COST,47735.5
MIN_ERR ,4.5753
AVG_ERR ,7.7477800000000006
MAX_ITERS,100
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,1.0
