Time,Initial Cost,Minimized Cost,Error Rate
17.48837,27712.0,7963.0,5.5821
17.27009,27175.0,8726.0,15.6988
17.62026,30817.0,7986.0,5.8870
17.46350,31033.0,8634.0,14.4789
17.47976,30367.0,8414.0,11.5619
17.26949,28211.0,8428.0,11.7475
18.63240,29017.0,8015.0,6.2715
17.38164,30354.0,8049.0,6.7224
17.62629,30899.0,8072.0,7.0273
17.39724,28294.0,8435.0,11.8404
17.32282,28575.0,8588.0,13.8690
17.47530,29122.0,8375.0,11.0448
17.54788,30237.0,7945.0,5.3434
17.38992,31690.0,8041.0,6.6163
17.50846,29350.0,7935.0,5.2108
17.61849,30545.0,8029.0,6.4572
17.28452,31010.0,8398.0,11.3498
17.43020,29602.0,8098.0,7.3720
17.31926,27576.0,8463.0,12.2116
17.61865,26662.0,8184.0,8.5123
AVG TIME,17.507227
MIN_COST,7935.0
AVG_COST,8238.9
MIN_ERR ,5.2108
AVG_ERR ,9.24025
NEIGHBORHOODS   ,6
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
