Time,Initial Cost,Minimized Cost,Error Rate
14.32953,3340.0,756.0,8.1545
14.20117,2794.0,719.0,2.8612
14.66815,3099.0,724.0,3.5765
14.46994,3188.0,726.0,3.8627
14.32706,2730.0,747.0,6.8670
14.39642,3076.0,728.0,4.1488
14.09364,3184.0,746.0,6.7239
14.21986,3251.0,738.0,5.5794
14.24965,2890.0,758.0,8.4406
14.31370,2989.0,736.0,5.2933
14.18966,3062.0,729.0,4.2918
14.06343,2627.0,766.0,9.5851
14.36780,3478.0,728.0,4.1488
14.38712,2945.0,724.0,3.5765
14.28638,2756.0,754.0,7.8684
14.19062,3022.0,710.0,1.5737
14.43463,2819.0,721.0,3.1474
14.29663,3170.0,729.0,4.2918
14.25408,3019.0,749.0,7.1531
14.26922,3259.0,724.0,3.5765
AVG TIME,14.300434500000003
MIN_COST,710.0
AVG_COST,735.6
MIN_ERR ,1.5737
AVG_ERR ,5.23605
NEIGHBORHOODS   ,6
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
