Time,Initial Cost,Minimized Cost,Error Rate
16.77367,1600.0,457.0,7.2770
16.84370,1698.0,456.0,7.0423
16.95583,1869.0,459.0,7.7465
16.92711,1630.0,450.0,5.6338
17.01766,1552.0,449.0,5.3991
16.72142,1513.0,477.0,11.9718
16.66801,1611.0,444.0,4.2254
16.74659,1610.0,466.0,9.3897
16.99265,1656.0,460.0,7.9812
16.82893,1872.0,450.0,5.6338
16.84394,1564.0,452.0,6.1033
16.90400,1607.0,458.0,7.5117
16.71220,1660.0,468.0,9.8592
16.91076,1698.0,462.0,8.4507
20.82520,1450.0,437.0,2.5822
16.99030,1559.0,460.0,7.9812
16.78265,1584.0,468.0,9.8592
16.89457,1640.0,470.0,10.3286
16.80599,1690.0,452.0,6.1033
16.79362,1791.0,454.0,6.5728
AVG TIME,17.04694
MIN_COST,437.0
AVG_COST,457.45
MIN_ERR ,2.5822
AVG_ERR ,7.382639999999999
NEIGHBORHOODS   ,6
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
