Time,Initial Cost,Minimized Cost,Error Rate
56.11516,569665.0,50279.0,13.4889
54.68827,557082.0,50319.0,13.5792
54.40487,604347.0,49588.0,11.9292
54.52309,596710.0,50310.0,13.5589
57.02746,613640.0,51157.0,15.4707
54.71006,593391.0,51158.0,15.4730
54.25202,532009.0,52605.0,18.7391
54.66883,545609.0,48807.0,10.1664
54.28534,577983.0,52993.0,19.6149
55.73873,610523.0,52475.0,18.4457
55.98224,570805.0,51294.0,15.7800
54.59523,542448.0,52760.0,19.0890
55.93099,565425.0,52750.0,19.0664
55.74135,536781.0,51978.0,17.3239
56.49372,598670.0,50811.0,14.6898
55.17959,543002.0,51103.0,15.3488
55.38087,594484.0,51670.0,16.6287
55.46704,658449.0,51160.0,15.4775
54.92386,561493.0,52519.0,18.5450
55.10115,596057.0,52313.0,18.0800
AVG TIME,55.26049350000001
MIN_COST,48807.0
AVG_COST,51402.45
MIN_ERR ,10.1664
AVG_ERR ,16.024755
NEIGHBORHOODS   ,6
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
