Time,Initial Cost,Minimized Cost,Error Rate
11.39611,27122.0,8543.0,13.2723
13.16384,30450.0,8058.0,6.8417
12.80799,28658.0,8539.0,13.2193
16.58364,28109.0,8792.0,16.5739
16.05297,30542.0,8324.0,10.3686
13.28243,29149.0,7733.0,2.5325
17.85993,31870.0,8427.0,11.7343
9.00770,28448.0,8579.0,13.7497
16.28944,30851.0,8098.0,7.3720
17.88027,28980.0,8261.0,9.5333
10.92060,26255.0,8242.0,9.2814
20.87983,29530.0,8116.0,7.6107
8.56283,27201.0,8387.0,11.2039
11.96309,29979.0,8343.0,10.6205
10.48297,29351.0,8245.0,9.3211
11.09907,29990.0,8482.0,12.4635
8.08785,31166.0,8967.0,18.8942
13.07268,28642.0,8982.0,19.0931
16.86319,29022.0,8500.0,12.7022
11.40364,29943.0,8460.0,12.1718
AVG TIME,13.383003500000001
MIN_COST,7733.0
AVG_COST,8403.9
MIN_ERR ,2.5325
AVG_ERR ,11.428
NEIGHBORHOODS   ,8
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
