Time,Initial Cost,Minimized Cost,Error Rate
72.65562,46724.0,7820.0,27.9869
72.32927,46942.0,7923.0,29.6727
57.86528,43910.0,8129.0,33.0442
83.81751,46933.0,7395.0,21.0311
101.97514,45305.0,7567.0,23.8462
90.89632,43756.0,7482.0,22.4550
89.07199,46945.0,7858.0,28.6088
115.76656,47604.0,7424.0,21.5057
87.15209,48357.0,7838.0,28.2815
92.62029,47636.0,7232.0,18.3633
94.02274,44298.0,7471.0,22.2750
90.79652,48627.0,7429.0,21.5876
112.01147,48022.0,7352.0,20.3273
92.88478,43871.0,7828.0,28.1178
118.48628,45412.0,6902.0,12.9624
130.20520,46064.0,7511.0,22.9296
84.98894,48258.0,7267.0,18.9362
135.59274,49584.0,7139.0,16.8412
72.98176,48763.0,7647.0,25.1555
65.28969,46381.0,7792.0,27.5286
AVG TIME,93.0705095
MIN_COST,6902.0
AVG_COST,7550.3
MIN_ERR ,12.9624
AVG_ERR ,23.572829999999996
NEIGHBORHOODS   ,8
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
