Time,Initial Cost,Minimized Cost,Error Rate
7.57113,2913.0,748.0,7.0100
4.08304,2989.0,799.0,14.3062
7.88539,3048.0,722.0,3.2904
8.93044,3006.0,814.0,16.4521
8.29713,2932.0,798.0,14.1631
6.80828,3226.0,751.0,7.4392
6.78715,3188.0,718.0,2.7182
7.73141,3509.0,736.0,5.2933
11.46000,3235.0,766.0,9.5851
10.26391,3179.0,790.0,13.0186
10.17608,2872.0,739.0,5.7225
6.86001,2970.0,739.0,5.7225
9.16875,3071.0,776.0,11.0157
11.95360,3216.0,729.0,4.2918
7.94290,2788.0,753.0,7.7253
5.00193,3203.0,763.0,9.1559
9.27922,3091.0,727.0,4.0057
7.49137,3005.0,741.0,6.0086
8.23602,3059.0,765.0,9.4421
10.45337,3073.0,765.0,9.4421
AVG TIME,8.319056499999999
MIN_COST,718.0
AVG_COST,756.95
MIN_ERR ,2.7182
AVG_ERR ,8.29042
NEIGHBORHOODS   ,8
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
