Time,Initial Cost,Minimized Cost,Error Rate
13.43762,1822.0,453.0,6.3380
12.60829,1629.0,460.0,7.9812
9.71171,1652.0,464.0,8.9202
9.77288,1743.0,460.0,7.9812
11.21833,1576.0,464.0,8.9202
7.25613,1608.0,523.0,22.7700
9.24148,1611.0,474.0,11.2676
9.23829,1633.0,458.0,7.5117
10.73455,1703.0,449.0,5.3991
11.25410,1811.0,462.0,8.4507
14.92074,1695.0,446.0,4.6948
22.21951,1508.0,458.0,7.5117
9.33850,1677.0,499.0,17.1362
9.52368,1667.0,483.0,13.3803
9.02215,1766.0,499.0,17.1362
9.89553,1632.0,463.0,8.6854
9.80723,1693.0,458.0,7.5117
12.80103,1658.0,454.0,6.5728
9.23189,1652.0,466.0,9.3897
7.65262,1670.0,470.0,10.3286
AVG TIME,10.944313000000003
MIN_COST,446.0
AVG_COST,468.15
MIN_ERR ,4.6948
AVG_ERR ,9.894364999999999
NEIGHBORHOODS   ,8
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
