Time,Initial Cost,Minimized Cost,Error Rate
309.69786,358054.0,37282.0,26.9477
260.42566,340674.0,38667.0,31.6637
212.77856,343177.0,41244.0,40.4386
314.29109,331854.0,39878.0,35.7873
259.43584,368848.0,40724.0,38.6679
196.41463,329025.0,42223.0,43.7721
253.04235,346548.0,41982.0,42.9515
209.49717,307045.0,41195.0,40.2717
104.31006,350621.0,47349.0,61.2265
155.35681,348069.0,45691.0,55.5809
223.64368,331181.0,40290.0,37.1901
283.09173,349840.0,36582.0,24.5642
232.43890,337916.0,39811.0,35.5591
169.48779,348449.0,43327.0,47.5313
184.92282,348619.0,39522.0,34.5750
178.60485,356526.0,40231.0,36.9892
228.46414,330911.0,39694.0,35.1607
285.27802,344966.0,38801.0,32.1200
286.25273,355307.0,38731.0,31.8816
176.59859,332834.0,42961.0,46.2851
AVG TIME,226.20166400000002
MIN_COST,36582.0
AVG_COST,40809.25
MIN_ERR ,24.5642
AVG_ERR ,38.95821000000001
NEIGHBORHOODS   ,8
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
