Time,Initial Cost,Minimized Cost,Error Rate
52.09349,583298.0,49799.0,12.4055
58.85683,599548.0,51970.0,17.3058
87.54571,546882.0,50096.0,13.0759
65.55260,554670.0,50532.0,14.0600
68.45607,606946.0,47752.0,7.7850
60.06468,543951.0,49235.0,11.1324
55.06618,600898.0,48439.0,9.3357
82.96675,593757.0,47678.0,7.6180
76.43072,563415.0,50563.0,14.1300
62.96059,581359.0,49198.0,11.0489
71.46020,577013.0,49119.0,10.8706
69.13080,571898.0,51958.0,17.2787
74.69671,562075.0,47669.0,7.5977
72.97988,587327.0,53317.0,20.3463
66.11639,605185.0,52003.0,17.3803
62.11455,573382.0,50261.0,13.4483
70.48731,573975.0,48042.0,8.4396
79.97004,644891.0,50943.0,14.9877
83.49916,559413.0,49603.0,11.9631
57.53702,624908.0,50970.0,15.0486
AVG TIME,68.899284
MIN_COST,47669.0
AVG_COST,49957.35
MIN_ERR ,7.5977
AVG_ERR ,12.762905
NEIGHBORHOODS   ,8
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
