Time,Initial Cost,Minimized Cost,Error Rate
3779.98229,175832.0,18172.0,106.3593
3277.68804,175714.0,18501.0,110.0954
4092.22802,179575.0,17542.0,99.2051
2694.52746,174558.0,20391.0,131.5580
2332.59967,180212.0,21460.0,143.6975
3182.33176,173877.0,19270.0,118.8281
3165.90101,174722.0,19206.0,118.1013
4454.75576,180759.0,17634.0,100.2498
4291.06460,175046.0,18222.0,106.9271
3188.22726,166946.0,18744.0,112.8549
3870.15878,180014.0,17891.0,103.1683
3168.03655,180435.0,19419.0,120.5201
4171.27239,178568.0,17718.0,101.2037
3980.30595,176001.0,18154.0,106.1549
2924.03584,182373.0,20809.0,136.3048
3908.29083,174418.0,17965.0,104.0086
3289.56940,171514.0,18917.0,114.8194
4104.16987,181899.0,17906.0,103.3386
2423.31570,179706.0,20867.0,136.9634
4512.94225,183838.0,17121.0,94.4243
AVG TIME,3540.5701714999987
MIN_COST,17121.0
AVG_COST,18795.45
MIN_ERR ,94.4243
AVG_ERR ,113.43913000000002
NEIGHBORHOODS   ,8
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
