Time,Initial Cost,Minimized Cost,Error Rate
9.78182,28105.0,8726.0,15.6625
6.57422,32344.0,7831.0,3.7993
6.45811,29824.0,8230.0,9.0880
6.36825,27769.0,8033.0,6.4768
6.41880,30721.0,8426.0,11.6860
6.58695,27685.0,7920.0,4.9790
6.82948,29851.0,8505.0,12.7331
6.31487,31256.0,7892.0,4.6079
6.33859,29280.0,7908.0,4.8199
6.34459,29357.0,8663.0,14.8274
7.07969,28328.0,8485.0,12.4680
6.41984,30282.0,8177.0,8.3855
6.26306,31164.0,8301.0,10.0291
6.31626,29512.0,8099.0,7.3516
6.27478,31162.0,8452.0,12.0306
6.28617,25854.0,8121.0,7.6432
6.26319,31896.0,8340.0,10.5461
6.25525,31678.0,8401.0,11.3546
6.29610,29273.0,8016.0,6.2515
6.27486,27663.0,7957.0,5.4694
AVG TIME,6.587243999999998
MIN_COST,7831.0
AVG_COST,8224.15
MIN_ERR ,3.7993
AVG_ERR ,9.010475000000001
MAX_ITERS,50
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.31427,31050.0,8297.0,9.9761
6.34243,32302.0,8181.0,8.4385
6.37191,30476.0,9027.0,19.6522
6.28064,29068.0,8248.0,9.3266
6.26271,30068.0,8219.0,8.9422
6.26863,28938.0,8307.0,10.1087
6.24906,25613.0,8765.0,16.1794
6.26571,30027.0,8268.0,9.5917
6.27808,28916.0,8290.0,9.8833
6.26412,29239.0,8329.0,10.4003
6.28108,29302.0,8301.0,10.0291
6.35109,28943.0,8745.0,15.9143
6.27261,30124.0,8178.0,8.3988
6.51989,29746.0,8205.0,8.7567
6.41522,28372.0,7869.0,4.3030
6.36548,28297.0,8292.0,9.9098
6.39593,30835.0,8533.0,13.1043
6.29111,32462.0,8420.0,11.6065
6.44993,30423.0,8204.0,8.7434
6.32019,31034.0,8333.0,10.4533
AVG TIME,6.3280045000000005
MIN_COST,7869.0
AVG_COST,8350.55
MIN_ERR ,4.303
AVG_ERR ,10.685910000000002
MAX_ITERS,75
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.43443,29618.0,8281.0,9.7640
6.31748,30811.0,8377.0,11.0365
6.25478,31475.0,8306.0,10.0954
6.30534,30942.0,8119.0,7.6167
6.25469,28991.0,8247.0,9.3134
6.26476,28647.0,8202.0,8.7169
6.94184,29647.0,8261.0,9.4989
6.47008,30136.0,8566.0,13.5417
6.33952,27365.0,8380.0,11.0763
6.26967,31667.0,8183.0,8.4650
6.25321,27545.0,8085.0,7.1661
6.27303,29776.0,8227.0,9.0483
6.26962,31175.0,8020.0,6.3045
6.34679,29749.0,8429.0,11.7258
6.27283,29507.0,8323.0,10.3207
6.28121,30751.0,8326.0,10.3605
6.40815,31200.0,7857.0,4.1439
6.29081,31187.0,8111.0,7.5107
6.61801,29792.0,8364.0,10.8642
7.22719,29779.0,8339.0,10.5328
AVG TIME,6.404672000000001
MIN_COST,7857.0
AVG_COST,8250.15
MIN_ERR ,4.1439
AVG_ERR ,9.355115000000001
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.27491,29604.0,8438.0,11.8451
6.30562,29374.0,8393.0,11.2486
6.27203,28763.0,7969.0,5.6285
7.09933,28108.0,8642.0,14.5491
6.63363,30825.0,8586.0,13.8068
6.60213,30080.0,8612.0,14.1514
6.90707,31145.0,8657.0,14.7479
8.01275,32751.0,8930.0,18.3665
7.20179,30883.0,8815.0,16.8422
7.04694,31189.0,8114.0,7.5505
7.63218,28295.0,8110.0,7.4974
6.92946,30452.0,8419.0,11.5932
6.26835,29923.0,8386.0,11.1558
6.26008,28553.0,7626.0,1.0821
6.26876,30322.0,7881.0,4.4621
6.26531,28592.0,8530.0,13.0645
6.26188,31291.0,8146.0,7.9746
6.26566,30288.0,8563.0,13.5019
6.25083,29320.0,8020.0,6.3045
6.28260,29993.0,8089.0,7.2191
AVG TIME,6.652065500000001
MIN_COST,7626.0
AVG_COST,8346.3
MIN_ERR ,1.0821
AVG_ERR ,10.62959
MAX_ITERS,100
#ANTS,5
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.25074,31712.0,8526.0,13.0115
6.24948,29018.0,7934.0,5.1646
6.23629,28795.0,8395.0,11.2751
6.27173,30511.0,8869.0,17.5579
6.30625,31873.0,8350.0,10.6786
6.26761,28484.0,8943.0,18.5388
6.29035,31156.0,8393.0,11.2486
6.26582,30818.0,8433.0,11.7788
6.25530,27059.0,8447.0,11.9643
8.77979,30243.0,8431.0,11.7523
6.97679,28990.0,8111.0,7.5107
7.18841,31004.0,8339.0,10.5328
7.33502,28049.0,7734.0,2.5136
7.65391,28008.0,8366.0,10.8907
7.64820,28906.0,8641.0,14.5358
7.58610,29321.0,7869.0,4.3030
6.47390,30982.0,8429.0,11.7258
6.27318,27300.0,8318.0,10.2545
6.26258,30067.0,8199.0,8.6771
6.26237,31924.0,8368.0,10.9172
AVG TIME,6.741691
MIN_COST,7734.0
AVG_COST,8354.75
MIN_ERR ,2.5136
AVG_ERR ,10.741585
MAX_ITERS,100
#ANTS,8
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.26191,29848.0,8411.0,11.4872
6.24628,31295.0,8106.0,7.4444
6.24576,27709.0,8702.0,15.3444
