Time,Initial Cost,Minimized Cost,Error Rate
25.19715,166512.0,26298.0,23.5692
25.81035,169082.0,25842.0,21.4266
25.43425,175628.0,26066.0,22.4791
25.55633,178108.0,25153.0,18.1891
25.31727,176207.0,23340.0,9.6701
25.35104,169515.0,24784.0,16.4552
25.36756,165756.0,26856.0,26.1911
25.95139,184867.0,26138.0,22.8174
25.34163,159783.0,25753.0,21.0084
25.54499,171496.0,26380.0,23.9545
25.39216,153136.0,26553.0,24.7674
25.42409,161300.0,24994.0,17.4420
25.50430,171318.0,26673.0,25.3313
25.37924,174626.0,24848.0,16.7559
25.44897,164679.0,25001.0,17.4749
25.43016,165186.0,25861.0,21.5158
25.45689,173297.0,25067.0,17.7850
25.30151,171001.0,25873.0,21.5722
25.31973,169241.0,24423.0,14.7590
25.26230,177176.0,24732.0,16.2109
AVG TIME,25.439565499999993
MIN_COST,23340.0
AVG_COST,25531.75
MIN_ERR ,9.6701
AVG_ERR ,19.968755
MAX_ITERS,50
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
25.10490,169028.0,24907.0,17.0332
25.23190,160908.0,25113.0,18.0011
25.29744,163808.0,24505.0,15.1443
25.29705,170670.0,25585.0,20.2190
25.50461,176036.0,25792.0,21.1916
25.34070,172620.0,24597.0,15.5765
25.74183,171462.0,24952.0,17.2446
25.41200,171986.0,24754.0,16.3143
25.33888,166689.0,25497.0,19.8055
25.29018,168678.0,24620.0,15.6846
25.38305,170431.0,25272.0,18.7482
25.54037,170004.0,24787.0,16.4693
25.53201,183281.0,25155.0,18.1985
25.62033,177144.0,25368.0,19.1993
25.71055,175828.0,24743.0,16.2626
25.44007,155108.0,26182.0,23.0242
25.55548,171461.0,25897.0,21.6850
25.52547,179870.0,24260.0,13.9930
25.34611,170242.0,26126.0,22.7610
25.34775,171029.0,24675.0,15.9431
AVG TIME,25.428034000000004
MIN_COST,24260.0
AVG_COST,25139.35
MIN_ERR ,13.993
AVG_ERR ,18.124945000000004
MAX_ITERS,75
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
25.27812,170343.0,24044.0,12.9781
25.45064,172951.0,26258.0,23.3813
25.37693,176439.0,24856.0,16.7935
25.36922,179314.0,25542.0,20.0169
25.37861,182488.0,24972.0,17.3386
25.37661,164097.0,25182.0,18.3253
25.30980,160124.0,25483.0,19.7397
25.21723,171623.0,25086.0,17.8743
25.77441,174939.0,25276.0,18.7670
25.43491,169791.0,24932.0,17.1506
25.46379,173643.0,25558.0,20.0921
25.53849,176046.0,24840.0,16.7184
25.56305,179945.0,25894.0,21.6709
25.59482,180031.0,24991.0,17.4279
25.51204,168521.0,26318.0,23.6632
25.50573,175297.0,24507.0,15.1537
25.45535,173852.0,25704.0,20.7781
25.53646,165711.0,25863.0,21.5252
25.60018,174068.0,25300.0,18.8798
25.26954,174598.0,26488.0,24.4620
AVG TIME,25.4502965
MIN_COST,24044.0
AVG_COST,25354.7
MIN_ERR ,12.9781
AVG_ERR ,19.136829999999996
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
25.48799,159481.0,25076.0,17.8273
25.24285,162443.0,24698.0,16.0511
25.31043,179618.0,24411.0,14.7026
25.41341,169206.0,26193.0,23.0758
25.42699,171101.0,24713.0,16.1216
25.42641,170602.0,24875.0,16.8828
25.30955,184225.0,25835.0,21.3937
25.41002,173027.0,24947.0,17.2211
25.52223,163441.0,25321.0,18.9785
25.41633,175013.0,25372.0,19.2181
25.42395,168919.0,24866.0,16.8405
25.57197,163218.0,23940.0,12.4894
30.37553,177018.0,25566.0,20.1297
38.73792,168620.0,25739.0,20.9426
33.19252,166133.0,25026.0,17.5923
27.18972,174380.0,25603.0,20.3035
27.20845,169565.0,24934.0,17.1600
25.60256,157489.0,27017.0,26.9477
25.40268,179289.0,24907.0,17.0332
25.46051,181991.0,25289.0,18.8281
AVG TIME,26.906601000000002
MIN_COST,23940.0
AVG_COST,25216.4
MIN_ERR ,12.4894
AVG_ERR ,18.48698
MAX_ITERS,100
#ANTS,5
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
25.40478,163991.0,25571.0,20.1532
25.58842,160790.0,25302.0,18.8892
25.50204,189942.0,25971.0,22.0327
25.47588,170303.0,25877.0,21.5910
25.43512,182982.0,25594.0,20.2613
25.43372,175723.0,25748.0,20.9849
25.40684,170562.0,25086.0,17.8743
25.44617,176909.0,25374.0,19.2275
25.40360,161818.0,24990.0,17.4232
25.43270,160152.0,26117.0,22.7187
25.63097,167343.0,24199.0,13.7064
25.65149,175956.0,25672.0,20.6278
25.62212,153293.0,24847.0,16.7512
25.85184,168520.0,25153.0,18.1891
25.76112,170027.0,25497.0,19.8055
25.58222,170397.0,24627.0,15.7175
25.60318,164036.0,25507.0,19.8525
25.60268,166434.0,26249.0,23.3390
25.51900,175432.0,25724.0,20.8721
25.49158,172507.0,25362.0,19.1711
AVG TIME,25.5422735
MIN_COST,24199.0
AVG_COST,25423.35
MIN_ERR ,13.7064
AVG_ERR ,19.459410000000002
MAX_ITERS,100
#ANTS,8
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
25.43296,178484.0,24789.0,16.4787
25.46228,188236.0,25604.0,20.3082
25.38910,170841.0,25321.0,18.9785
25.50262,190965.0,25275.0,18.7623
25.37359,162502.0,26250.0,23.3437
25.53129,176250.0,26301.0,23.5833
25.48462,167669.0,25265.0,18.7153
25.44533,168636.0,24597.0,15.5765
25.44932,157064.0,26052.0,22.4133
25.46811,180443.0,25184.0,18.3347
25.58499,167491.0,25273.0,18.7529
25.63869,169506.0,25283.0,18.7999
25.64407,169384.0,24543.0,15.3228
25.63219,181740.0,24585.0,15.5202
25.61144,190013.0,25406.0,19.3779
25.63309,171423.0,24329.0,14.3173
25.58650,172803.0,26403.0,24.0626
25.89639,165960.0,26019.0,22.2582
25.50600,170943.0,25566.0,20.1297
25.44656,176591.0,25307.0,18.9127
AVG TIME,25.535956999999996
MIN_COST,24329.0
AVG_COST,25367.6
MIN_ERR ,14.3173
AVG_ERR ,19.197435000000002
MAX_ITERS,100
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
25.45057,170007.0,24279.0,14.0823
25.57173,169486.0,25212.0,18.4663
25.44335,172384.0,25309.0,18.9221
25.85739,186652.0,24535.0,15.2852
25.32337,181375.0,25353.0,19.1288
25.36458,169252.0,24380.0,14.5569
25.33214,165314.0,25973.0,22.0421
25.48284,166640.0,24528.0,15.2523
25.43007,156004.0,26063.0,22.4650
25.49796,163613.0,24505.0,15.1443
25.57248,178107.0,24311.0,14.2327
25.52504,174142.0,25503.0,19.8337
25.51567,161744.0,24694.0,16.0323
25.58570,181966.0,24870.0,16.8593
25.48966,171549.0,25359.0,19.1570
25.75984,173333.0,25213.0,18.4710
25.56505,158200.0,26352.0,23.8229
25.48918,171074.0,25742.0,20.9567
25.26935,158844.0,26176.0,22.9960
25.31985,170812.0,25580.0,20.1955
AVG TIME,25.492290999999994
MIN_COST,24279.0
AVG_COST,25196.85
MIN_ERR ,14.0823
AVG_ERR ,18.39512
MAX_ITERS,100
#ANTS,10
DECAY,0.0
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
25.72563,171765.0,26317.0,23.6585
25.52829,168813.0,25775.0,21.1117
25.55200,158656.0,24616.0,15.6658
25.25152,180594.0,24625.0,15.7081
25.45088,181583.0,25093.0,17.9072
25.41714,174198.0,25571.0,20.1532
25.30447,174717.0,24015.0,12.8418
25.71462,170465.0,25357.0,19.1476
25.34375,168924.0,25336.0,19.0490
25.25811,164244.0,24450.0,14.8858
25.38560,175152.0,25633.0,20.4445
25.58860,163189.0,25426.0,19.4719
25.31500,175049.0,24143.0,13.4433
25.38012,162612.0,25569.0,20.1438
25.46041,177031.0,25913.0,21.7602
25.38423,187147.0,24388.0,14.5945
25.41802,179143.0,23761.0,11.6483
25.44771,153986.0,25913.0,21.7602
25.38897,190925.0,25016.0,17.5453
25.37718,168631.0,26131.0,22.7845
AVG TIME,25.4346125
MIN_COST,23761.0
AVG_COST,25152.4
MIN_ERR ,11.6483
AVG_ERR ,18.186259999999997
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
25.43979,169417.0,25421.0,19.4484
25.51914,166510.0,25631.0,20.4351
25.33702,168987.0,26004.0,22.1878
25.32237,182655.0,25782.0,21.1446
25.35347,180351.0,24815.0,16.6009
25.39913,185214.0,24928.0,17.1318
25.33202,183494.0,25447.0,19.5705
25.38739,167777.0,25546.0,20.0357
25.45576,169291.0,25860.0,21.5111
25.42523,176752.0,24704.0,16.0793
25.77237,169611.0,24537.0,15.2946
25.38968,157717.0,25951.0,21.9387
25.43294,174388.0,25264.0,18.7106
25.48826,165757.0,25564.0,20.1203
25.57954,161242.0,25500.0,19.8196
25.54363,169445.0,23748.0,11.5873
25.66896,166045.0,25366.0,19.1899
25.58498,167355.0,25161.0,18.2267
25.22779,167285.0,26385.0,23.9780
25.50615,191595.0,25861.0,21.5158
AVG TIME,25.458281000000003
MIN_COST,23748.0
AVG_COST,25373.75
MIN_ERR ,11.5873
AVG_ERR ,19.226335
MAX_ITERS,100
#ANTS,10
DECAY,0.2
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
25.40247,168363.0,25022.0,17.5735
25.53169,167492.0,25746.0,20.9755
25.54146,173211.0,26411.0,24.1002
25.34361,177316.0,24884.0,16.9251
25.45572,181258.0,25606.0,20.3176
25.35310,160667.0,25022.0,17.5735
25.21613,164462.0,25067.0,17.7850
25.61828,168670.0,27108.0,27.3752
25.98056,161139.0,25111.0,17.9917
25.38037,182689.0,25320.0,18.9738
25.36927,174787.0,25017.0,17.5500
25.32230,166517.0,24993.0,17.4373
25.46001,165429.0,26921.0,26.4966
