Time,Initial Cost,Minimized Cost,Error Rate
6.73336,27849.0,8452.0,12.0306
6.52265,27849.0,8384.0,11.1293
6.51968,27849.0,8026.0,6.3840
6.45740,27849.0,8036.0,6.5166
6.49384,27849.0,8604.0,14.0454
6.55387,27849.0,8207.0,8.7832
6.48301,27849.0,8614.0,14.1779
6.47423,27849.0,8285.0,9.8170
6.47674,27849.0,8257.0,9.4459
6.62524,27849.0,8158.0,8.1337
6.47550,27849.0,8165.0,8.2265
6.44614,27849.0,8199.0,8.6771
6.45871,27849.0,9141.0,21.1633
6.45077,27849.0,8996.0,19.2413
6.45350,27849.0,8605.0,14.0586
6.44002,27849.0,8391.0,11.2221
6.43674,27849.0,8361.0,10.8244
6.45486,27849.0,8181.0,8.4385
6.48469,27849.0,7889.0,4.5681
6.48865,27849.0,7845.0,3.9849
AVG TIME,6.49648
MIN_COST,7845.0
AVG_COST,8339.8
MIN_ERR ,3.9849
AVG_ERR ,10.543420000000001
MAX_ITERS,50
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.48159,27849.0,8204.0,8.7434
6.48247,27849.0,8336.0,10.4931
6.47188,27849.0,8309.0,10.1352
6.58017,27849.0,7736.0,2.5401
6.47274,27849.0,8015.0,6.2382
6.47988,27849.0,8595.0,13.9261
6.47831,27849.0,8560.0,13.4622
6.51206,27849.0,8181.0,8.4385
6.46897,27849.0,9024.0,19.6124
6.50370,27849.0,8822.0,16.9349
6.45565,27849.0,8568.0,13.5682
6.44806,27849.0,8199.0,8.6771
6.47146,27849.0,8253.0,9.3929
6.46889,27849.0,8356.0,10.7581
6.44361,27849.0,8352.0,10.7051
6.46546,27849.0,8409.0,11.4607
6.48874,27849.0,8872.0,17.5977
6.70192,27849.0,8333.0,10.4533
6.70003,27849.0,8363.0,10.8509
6.65730,27849.0,8420.0,11.6065
AVG TIME,6.5116445
MIN_COST,7736.0
AVG_COST,8395.35
MIN_ERR ,2.5401
AVG_ERR ,11.279730000000002
MAX_ITERS,50
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,1.0
Time,Initial Cost,Minimized Cost,Error Rate
6.65103,27849.0,8560.0,13.4622
6.58073,27849.0,8469.0,12.2560
6.56407,27849.0,8057.0,6.7949
6.64409,27849.0,8268.0,9.5917
6.47736,27849.0,8184.0,8.4783
6.49039,27849.0,8598.0,13.9658
6.50273,27849.0,8393.0,11.2486
6.49733,27849.0,8212.0,8.8494
6.55129,27849.0,8302.0,10.0424
6.60794,27849.0,8517.0,12.8922
6.51765,27849.0,8538.0,13.1705
6.46080,27849.0,8236.0,9.1676
6.59204,27849.0,8068.0,6.9407
6.59230,27849.0,8042.0,6.5961
6.58751,27849.0,8200.0,8.6904
6.46518,27849.0,8486.0,12.4813
6.54181,27849.0,8189.0,8.5446
6.50817,27849.0,8484.0,12.4548
6.49432,27849.0,8392.0,11.2353
6.49398,27849.0,8162.0,8.1867
AVG TIME,6.541036
MIN_COST,8042.0
AVG_COST,8317.85
MIN_ERR ,6.5961
AVG_ERR ,10.252475
MAX_ITERS,50
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,3.0
Time,Initial Cost,Minimized Cost,Error Rate
6.45008,27849.0,7980.0,5.7743
6.46137,27849.0,8272.0,9.6447
6.46440,27849.0,8488.0,12.5078
6.46306,27849.0,8324.0,10.3340
6.44656,27849.0,7854.0,4.1042
6.48058,27849.0,7940.0,5.2441
6.44252,27849.0,7829.0,3.7728
6.46377,27849.0,8262.0,9.5122
6.44079,27849.0,7948.0,5.3501
6.46100,27849.0,8007.0,6.1322
6.41420,27849.0,8704.0,15.3709
6.41787,27849.0,7992.0,5.9334
6.41873,27849.0,8177.0,8.3855
6.42126,27849.0,8605.0,14.0586
6.43204,27849.0,8635.0,14.4563
6.44208,27849.0,8616.0,14.2044
6.43020,27849.0,8450.0,12.0041
6.43753,27849.0,8489.0,12.5211
6.45960,27849.0,8287.0,9.8436
6.46581,27849.0,8293.0,9.9231
AVG TIME,6.445672499999999
MIN_COST,7829.0
AVG_COST,8257.6
MIN_ERR ,3.7728
AVG_ERR ,9.45387
MAX_ITERS,100
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.45764,27849.0,8411.0,11.4872
6.46242,27849.0,8637.0,14.4828
