Time,Initial Cost,Minimized Cost,Error Rate
27.22653,172349.0,26640.0,25.1762
26.17097,172349.0,26851.0,26.1677
26.15317,172349.0,25193.0,18.3770
26.09404,172349.0,23617.0,10.9717
25.74475,172349.0,26210.0,23.1557
25.74419,172349.0,24617.0,15.6705
25.71153,172349.0,26577.0,24.8802
25.78341,172349.0,25130.0,18.0810
25.77677,172349.0,26094.0,22.6107
25.79548,172349.0,25511.0,19.8713
25.60935,172349.0,25386.0,19.2839
25.68814,172349.0,24901.0,17.0050
25.79395,172349.0,25997.0,22.1549
25.61040,172349.0,26354.0,23.8323
25.58491,172349.0,25824.0,21.3420
26.83794,172349.0,26184.0,23.0335
25.63737,172349.0,25575.0,20.1720
25.62544,172349.0,26039.0,22.3522
25.81340,172349.0,24894.0,16.9721
25.83483,172349.0,25197.0,18.3958
AVG TIME,25.911828500000002
MIN_COST,23617.0
AVG_COST,25639.55
MIN_ERR ,10.9717
AVG_ERR ,20.475285
MAX_ITERS,50
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
25.79378,172349.0,24227.0,13.8380
25.75746,172349.0,26243.0,23.3108
25.74705,172349.0,24781.0,16.4411
25.80660,172349.0,25121.0,18.0387
25.81804,172349.0,25463.0,19.6457
25.85848,172349.0,25566.0,20.1297
26.44241,172349.0,24616.0,15.6658
25.87546,172349.0,25195.0,18.3864
25.81884,172349.0,26076.0,22.5261
26.08227,172349.0,26277.0,23.4705
26.00385,172349.0,27682.0,30.0724
25.69983,172349.0,24826.0,16.6526
25.69232,172349.0,25443.0,19.5517
26.07599,172349.0,24833.0,16.6855
25.74594,172349.0,24168.0,13.5608
25.68294,172349.0,24578.0,15.4873
25.96925,172349.0,23363.0,9.7782
25.97035,172349.0,24829.0,16.6667
26.10245,172349.0,25721.0,20.8580
26.20213,172349.0,25589.0,20.2378
AVG TIME,25.907271999999995
MIN_COST,23363.0
AVG_COST,25229.85
MIN_ERR ,9.7782
AVG_ERR ,18.550190000000004
MAX_ITERS,50
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,1.0
Time,Initial Cost,Minimized Cost,Error Rate
26.16045,172349.0,23965.0,12.6069
26.14601,172349.0,25345.0,19.0913
25.86106,172349.0,26888.0,26.3415
25.86878,172349.0,25548.0,20.0451
25.84681,172349.0,25397.0,19.3356
25.87055,172349.0,24735.0,16.2250
26.19228,172349.0,23958.0,12.5740
25.60286,172349.0,25429.0,19.4860
25.46012,172349.0,25353.0,19.1288
25.57213,172349.0,24838.0,16.7090
25.41021,172349.0,24937.0,17.1741
25.49307,172349.0,26187.0,23.0476
25.35896,172349.0,24709.0,16.1028
25.27121,172349.0,25444.0,19.5564
25.39724,172349.0,24829.0,16.6667
25.24084,172349.0,25886.0,21.6333
25.30383,172349.0,24982.0,17.3856
25.47190,172349.0,25639.0,20.4727
25.47747,172349.0,25381.0,19.2604
25.64173,172349.0,23425.0,10.0695
AVG TIME,25.632375500000002
MIN_COST,23425.0
AVG_COST,25143.75
MIN_ERR ,10.0695
AVG_ERR ,18.145615
MAX_ITERS,50
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,3.0
Time,Initial Cost,Minimized Cost,Error Rate
25.69323,172349.0,25323.0,18.9879
25.72913,172349.0,26073.0,22.5120
25.44370,172349.0,26717.0,25.5380
25.59711,172349.0,26275.0,23.4611
25.44601,172349.0,25776.0,21.1164
25.65607,172349.0,24665.0,15.8961
25.55270,172349.0,24603.0,15.6047
25.49299,172349.0,25130.0,18.0810
25.50688,172349.0,24772.0,16.3988
25.55543,172349.0,24344.0,14.3877
25.55774,172349.0,24773.0,16.4035
25.51006,172349.0,26496.0,24.4996
25.34391,172349.0,24823.0,16.6385
25.82834,172349.0,26381.0,23.9592
25.36048,172349.0,26799.0,25.9233
25.26128,172349.0,25672.0,20.6278
25.41414,172349.0,26273.0,23.4517
25.34877,172349.0,25218.0,18.4945
25.45901,172349.0,24826.0,16.6526
25.43674,172349.0,25456.0,19.6128
AVG TIME,25.509686
MIN_COST,24344.0
AVG_COST,25519.75
MIN_ERR ,14.3877
AVG_ERR ,19.91236
MAX_ITERS,100
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
25.41891,172349.0,25310.0,18.9268
25.45065,172349.0,24856.0,16.7935
25.43894,172349.0,26083.0,22.5590
25.54345,172349.0,24990.0,17.4232
25.45152,172349.0,24078.0,13.1379
26.05321,172349.0,25308.0,18.9174
25.64242,172349.0,25018.0,17.5547
25.60731,172349.0,26576.0,24.8755
25.61996,172349.0,25088.0,17.8837
25.55566,172349.0,24213.0,13.7722
25.42621,172349.0,26622.0,25.0916
25.33559,172349.0,24240.0,13.8991
25.37000,172349.0,24076.0,13.1285
