Time,Initial Cost,Minimized Cost,Error Rate
12.47618,31755.0,8321.0,10.2942
11.65470,31701.0,8520.0,12.9320
13.64594,26677.0,8094.0,7.2854
9.08677,31510.0,8721.0,15.5962
17.50828,33053.0,8160.0,8.1602
15.56699,27676.0,8588.0,13.8333
7.97131,29733.0,9337.0,23.7612
15.03180,30605.0,8026.0,6.3840
19.25781,29653.0,8621.0,14.2707
14.60240,26202.0,8061.0,6.8479
19.56629,31574.0,8729.0,15.7022
11.27737,28660.0,8306.0,10.0954
17.70493,30746.0,8819.0,16.8952
13.97256,30181.0,8459.0,12.1234
10.40366,31028.0,7979.0,5.7610
18.70668,27217.0,8292.0,9.9098
14.71175,30293.0,8356.0,10.7581
12.41803,25006.0,8297.0,9.9761
8.63443,28072.0,8874.0,17.6242
13.02321,32860.0,8520.0,12.9320
AVG TIME,13.861054499999998
MIN_COST,7979.0
AVG_COST,8454.0
MIN_ERR ,5.761
AVG_ERR ,12.057125
NEIGHBORHOODS   ,6
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20

Time,Initial Cost,Minimized Cost,Error Rate
13.57374,28630.0,8479.0,12.3885
21.32324,28105.0,8505.0,12.7331
18.35313,32187.0,8545.0,13.2633
16.48916,30126.0,8176.0,8.3723
12.20459,29688.0,8830.0,17.0410
18.09032,30711.0,8400.0,11.3414
24.52591,29842.0,8148.0,8.0011
19.09831,28123.0,8259.0,9.4724
17.98652,29496.0,8051.0,6.7154
17.76253,30932.0,8483.0,12.4415
26.56031,30043.0,8125.0,7.6963
16.71618,29143.0,8193.0,8.5976
14.87921,32037.0,8294.0,9.9363
14.88285,28556.0,8374.0,10.9967
14.67013,26134.0,8256.0,9.4327
21.44954,29787.0,8234.0,9.1410
22.16667,30853.0,8585.0,13.7935
17.82804,29249.0,8346.0,10.6256
22.03985,31759.0,8427.0,11.6992
34.41881,32204.0,8170.0,8.2927
AVG TIME,19.250952
MIN_COST,8051.0
AVG_COST,8344.0
MIN_ERR ,6.7154
AVG_ERR ,10.599079999999997
NEIGHBORHOODS   ,8
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20

Time,Initial Cost,Minimized Cost,Error Rate
37.23555,26654.0,8243.0,9.2603
35.95237,30147.0,8121.0,7.6432
20.83334,30147.0,8835.0,17.1073
26.28162,31334.0,7958.0,5.4827
42.85387,29012.0,8023.0,6.3443
18.28479,29683.0,8490.0,12.5343
27.57365,25831.0,8144.0,7.9481
30.19458,29084.0,8392.0,11.2353
38.79873,28728.0,7867.0,4.2765
18.38434,29849.0,8445.0,11.9378
21.07644,31208.0,8386.0,11.1558
19.12992,29101.0,8308.0,10.1219
29.94943,28183.0,8594.0,13.9128
20.06743,29990.0,8474.0,12.3222
29.41799,27642.0,8110.0,7.4974
21.61472,29210.0,8383.0,11.1160
19.13130,28008.0,9138.0,21.1235
21.67990,30088.0,8227.0,9.0483
37.00147,28167.0,7869.0,4.3030
30.20759,29869.0,8932.0,18.3930
AVG TIME,27.283451499999995
MIN_COST,7867.0
AVG_COST,8346.95
MIN_ERR ,4.2765
AVG_ERR ,10.638185
NEIGHBORHOODS   ,10
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20

Time,Initial Cost,Minimized Cost,Error Rate
21.46331,30424.0,8357.0,10.7714
39.42645,32041.0,8173.0,8.3325
38.68969,30008.0,8420.0,11.6065
38.88711,25540.0,8259.0,9.4724
43.44643,29599.0,8029.0,6.4238
35.86521,31061.0,8261.0,9.4989
40.26037,31625.0,8509.0,12.7862
43.95193,30244.0,8287.0,9.8436
37.90347,30518.0,8289.0,9.8701
53.40806,31319.0,8006.0,6.1189
21.85783,29872.0,8442.0,11.8981
32.70306,31537.0,8086.0,7.1793
41.71087,33250.0,8870.0,17.5712
24.54312,30652.0,8474.0,12.3222
36.06787,27481.0,8132.0,7.7890
26.33717,28982.0,8379.0,11.0630
21.62059,30458.0,8688.0,15.1588
20.61872,28652.0,7877.0,4.4090
21.53566,29766.0,8290.0,9.8833
30.70537,30087.0,8383.0,11.1160
AVG TIME,33.5501145
MIN_COST,7877.0
AVG_COST,8310.55
MIN_ERR ,4.409
AVG_ERR ,10.15571
NEIGHBORHOODS   ,12
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
