NEIGHBORHOODS   ,12
MAX_NO_IMPROV   ,20
MAX_NO_IMPROV_LS,20
NUMBER OF RUNS  ,20
Time,Initial Cost,Minimized Cost,Error Rate
59.06545,170090.0,26167.0,22.9537
62.88077,165415.0,27033.0,27.0228
48.17786,163419.0,26045.0,22.3804
40.56032,165003.0,27628.0,29.8186
56.62910,177368.0,28318.0,33.0608
63.21488,170983.0,25679.0,20.6607
54.36515,179245.0,26622.0,25.0916
21.97156,168964.0,31651.0,48.7219
72.42577,169051.0,25601.0,20.2941
40.21804,177421.0,28974.0,36.1432
63.04673,190060.0,27012.0,26.9242
20.35159,173020.0,31788.0,49.3657
48.70200,175559.0,26509.0,24.5607
77.20079,163726.0,24848.0,16.7559
44.42509,181895.0,27910.0,31.1437
65.89931,183992.0,25968.0,22.0186
41.80587,168036.0,29135.0,36.8997
93.35637,169490.0,25805.0,21.2527
27.47127,162613.0,30684.0,44.1782
26.24847,168611.0,27773.0,30.5000
AVG TIME,51.4008195
MIN_COST,24848.0
AVG_COST,27557.5
MIN_ERR ,16.7559
AVG_ERR ,29.487359999999995
NEIGHBORHOODS   ,12
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
NUMBER OF RUNS  ,20
Time,Initial Cost,Minimized Cost,Error Rate
55.36306,161746.0,28715.0,34.9262
83.67119,184021.0,25225.0,18.5274
123.96430,177533.0,23407.0,9.9850
126.50737,160369.0,24556.0,15.3839
98.80355,173689.0,27191.0,27.7652
87.91106,166730.0,24212.0,13.7675
109.97943,194243.0,23943.0,12.5035
92.68936,177516.0,24817.0,16.6103
144.18951,190594.0,24994.0,17.4420
116.68828,160475.0,24345.0,14.3924
53.66696,176100.0,27019.0,26.9571
77.06750,161806.0,26197.0,23.0946
52.46466,191827.0,28612.0,34.4423
61.20194,166475.0,24272.0,14.0494
170.18747,176910.0,23441.0,10.1447
83.35587,179533.0,26436.0,24.2176
81.28253,161603.0,25979.0,22.0703
97.47668,175516.0,23517.0,10.5018
93.20419,181173.0,25927.0,21.8260
63.72896,168710.0,26327.0,23.7055
AVG TIME,93.6701935
MIN_COST,23407.0
AVG_COST,25456.6
MIN_ERR ,9.985
AVG_ERR ,19.615634999999997
NEIGHBORHOODS   ,6
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
NUMBER OF RUNS  ,20
Time,Initial Cost,Minimized Cost,Error Rate
44.21918,178333.0,24917.0,17.0802
28.93413,171803.0,24941.0,17.1929
43.41950,176189.0,25885.0,21.6286
44.24489,172768.0,23934.0,12.4612
23.89943,163490.0,26507.0,24.5513
30.57883,175560.0,25974.0,22.0468
47.65373,152159.0,24423.0,14.7590
47.46438,174424.0,25399.0,19.3450
40.41519,178797.0,26584.0,24.9131
60.07709,167270.0,25368.0,19.1993
30.76519,165507.0,26407.0,24.0814
50.33917,168309.0,25392.0,19.3121
43.72400,178250.0,24656.0,15.8538
31.86571,175870.0,25540.0,20.0075
32.11747,160885.0,25736.0,20.9285
38.22524,167204.0,24549.0,15.3510
29.68134,171986.0,24909.0,17.0426
50.75869,168224.0,24480.0,15.0268
37.46596,163968.0,24994.0,17.4420
52.08155,176193.0,23971.0,12.6351
AVG TIME,40.396533500000004
MIN_COST,23934.0
AVG_COST,25228.3
MIN_ERR ,12.4612
AVG_ERR ,18.54291
NEIGHBORHOODS   ,12
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,30
NUMBER OF RUNS  ,20
Time,Initial Cost,Minimized Cost,Error Rate
149.14334,170110.0,24830.0,16.6714
132.96038,166596.0,24721.0,16.1592
151.31655,157019.0,23567.0,10.7368
132.79868,167134.0,23513.0,10.4830
123.48954,152978.0,24048.0,12.9969
101.64877,159566.0,25983.0,22.0891
116.66770,169932.0,24639.0,15.7739
86.50461,174833.0,25578.0,20.1861
106.31139,162516.0,25841.0,21.4219
106.72715,166393.0,23907.0,12.3344
123.57606,172038.0,23425.0,10.0695
137.98781,175340.0,26104.0,22.6576
129.59266,173030.0,24823.0,16.6385
112.23188,174775.0,24940.0,17.1882
121.83591,173762.0,23939.0,12.4847
116.04722,150576.0,23450.0,10.1870
105.28299,177629.0,25171.0,18.2737
158.07568,188860.0,23907.0,12.3344
194.95350,177594.0,23278.0,9.3788
114.69915,168598.0,25630.0,20.4304
AVG TIME,126.09254849999999
MIN_COST,23278.0
AVG_COST,24564.7
MIN_ERR ,9.3788
AVG_ERR ,15.424775000000002
NEIGHBORHOODS   ,24
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,40
NUMBER OF RUNS  ,20
Time,Initial Cost,Minimized Cost,Error Rate
497.71650,172892.0,24639.0,15.7739
409.21191,183024.0,23038.0,8.2511
575.12659,181481.0,23689.0,11.3100
245.04383,161569.0,25699.0,20.7546
578.32720,178389.0,23712.0,11.4181
369.67070,170050.0,23497.0,10.4079
331.18667,148819.0,25031.0,17.6158
157.93723,170382.0,25508.0,19.8572
350.66881,175057.0,25160.0,18.2220
368.59320,176483.0,24689.0,16.0088
319.96978,176461.0,24406.0,14.6791
347.90296,165028.0,24577.0,15.4826
336.42896,172032.0,24093.0,13.2083
200.89425,174437.0,26415.0,24.1190
423.50519,175430.0,24714.0,16.1263
300.11627,170960.0,24821.0,16.6291
354.31790,170671.0,24253.0,13.9602
490.54540,174485.0,23828.0,11.9632
604.21336,168706.0,25182.0,18.3253
461.16282,164737.0,24289.0,14.1293
AVG TIME,386.12697650000007
MIN_COST,23038.0
AVG_COST,24562.0
MIN_ERR ,8.2511
AVG_ERR ,15.412089999999997
NEIGHBORHOODS   ,15
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
NUMBER OF RUNS  ,20
Time,Initial Cost,Minimized Cost,Error Rate
133.98081,161125.0,24929.0,17.1365
168.73654,184197.0,25956.0,21.9622
99.70017,190775.0,25586.0,20.2237
119.85499,165899.0,24678.0,15.9571
124.57411,176800.0,25821.0,21.3279
142.64129,181583.0,26115.0,22.7093
81.12404,170423.0,27077.0,27.2296
212.53089,167521.0,23525.0,10.5394
191.82857,160737.0,25473.0,19.6927
162.13606,170275.0,23503.0,10.4360
135.97817,166770.0,24937.0,17.1741
140.28588,167723.0,24777.0,16.4223
169.31794,181286.0,25506.0,19.8478
83.34665,174577.0,24657.0,15.8585
184.76067,184118.0,24177.0,13.6030
85.98672,173547.0,27026.0,26.9899
109.13777,178536.0,25928.0,21.8307
163.13891,169564.0,24126.0,13.3634
117.21465,171344.0,25250.0,18.6449
135.94861,185212.0,24604.0,15.6094
AVG TIME,138.11117199999998
MIN_COST,23503.0
AVG_COST,25182.55
MIN_ERR ,10.436
AVG_ERR ,18.32792
NEIGHBORHOODS   ,15
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,30
NUMBER OF RUNS  ,20
Time,Initial Cost,Minimized Cost,Error Rate
242.31732,168960.0,23020.0,8.1665
198.40474,162583.0,24691.0,16.0182
179.60566,174010.0,22596.0,6.1742
266.38739,167230.0,22477.0,5.6151
232.89579,177562.0,23859.0,12.1088
110.04081,171493.0,24179.0,13.6124
118.02752,160665.0,25329.0,19.0161
127.67808,178412.0,23613.0,10.9529
134.60249,169392.0,25317.0,18.9597
162.83141,160790.0,23183.0,8.9324
148.12957,172188.0,25544.0,20.0263
98.80409,167826.0,23717.0,11.4416
164.48612,175320.0,23356.0,9.7453
146.35265,169347.0,24823.0,16.6385
114.49942,174899.0,23446.0,10.1682
211.20157,160848.0,25319.0,18.9691
126.17909,164254.0,25938.0,21.8776
163.57112,182948.0,25482.0,19.7350
84.74201,160933.0,26038.0,22.3475
107.58302,180600.0,26298.0,23.5692
AVG TIME,156.91699350000002
MIN_COST,22477.0
AVG_COST,24411.25
MIN_ERR ,5.6151
AVG_ERR ,14.703730000000002
NEIGHBORHOODS   ,15
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,40
NUMBER OF RUNS  ,20
Time,Initial Cost,Minimized Cost,Error Rate
152.04486,172755.0,24719.0,16.1498
266.68225,154634.0,23421.0,10.0507
147.30842,157941.0,24326.0,14.3032
247.50187,167314.0,23850.0,12.0665
195.61805,162690.0,24612.0,15.6470
142.44656,186892.0,24664.0,15.8914
231.68772,185172.0,22978.0,7.9692
161.39646,185328.0,24464.0,14.9516
180.81581,165504.0,24512.0,15.1771
233.54799,173271.0,24352.0,14.4253
139.62309,176425.0,25100.0,17.9400
150.01991,176595.0,24595.0,15.5671
154.83933,183488.0,24787.0,16.4693
198.54563,178984.0,23496.0,10.4032
156.14030,173022.0,24937.0,17.1741
171.63093,169211.0,23392.0,9.9145
185.88484,170698.0,22921.0,7.7013
199.52711,172142.0,24067.0,13.0862
226.15307,168069.0,23915.0,12.3720
144.46723,178924.0,24569.0,15.4450
AVG TIME,184.29407150000003
MIN_COST,22921.0
AVG_COST,24183.85
MIN_ERR ,7.7013
AVG_ERR ,13.635225
NEIGHBORHOODS   ,12
MAX_NO_IMPROV   ,10
MAX_NO_IMPROV_LS,20
NUMBER OF RUNS  ,20
Time,Initial Cost,Minimized Cost,Error Rate
15.16282,174355.0,34238.0,60.8777
19.37448,181459.0,30936.0,45.3623
17.61102,170774.0,34219.0,60.7885
22.01883,172669.0,34590.0,62.5317
19.23096,178843.0,30764.0,44.5541
40.52575,178322.0,28854.0,35.5794
24.00586,166693.0,31572.0,48.3507
34.30414,171479.0,28171.0,32.3701
34.34421,161549.0,30421.0,42.9424
22.98517,174376.0,29321.0,37.7737
17.40156,175813.0,32265.0,51.6070
