NEIGHBORHOODS:    12
MAX_NO_IMPROV:    10
MAX_NO_IMPROV_LS: 10
Time,Initial Cost,Minimized Cost,Error Rate
4.01701,27570.0,9810.0,29.7619
5.46548,27124.0,9195.0,21.6270
3.22191,32441.0,10283.0,36.0185
4.75503,29800.0,9644.0,27.5661
6.32769,32639.0,9385.0,24.1402
5.34686,29841.0,9846.0,30.2381
3.18872,32539.0,9821.0,29.9074
6.16101,29181.0,9038.0,19.5503
7.80904,28441.0,9535.0,26.1243
6.95280,31526.0,8851.0,17.0767
5.03754,28209.0,8563.0,13.2672
5.44527,29062.0,9385.0,24.1402
7.20971,30258.0,9037.0,19.5370
6.73825,30761.0,9031.0,19.4577
6.36576,31754.0,8661.0,14.5635
5.64107,26503.0,9198.0,21.6667
4.25187,28959.0,10524.0,39.2063
8.83820,31425.0,9104.0,20.4233
4.02965,30229.0,8884.0,17.5132
7.52886,30431.0,8979.0,18.7698

NEIGHBORHOODS:    12
MAX_NO_IMPROV:    10
MAX_NO_IMPROV_LS: 10
NUMBER OF RUNS:   20
Time,Initial Cost,Minimized Cost,Error Rate
5.91825,28226.0,9475.0,25.3307
7.54354,28509.0,8607.0,13.8492
7.07039,30723.0,9348.0,23.6508
5.34145,30295.0,8859.0,17.1825
3.33641,30473.0,9771.0,29.2460
6.54069,31315.0,9096.0,20.3175
4.77634,28281.0,8488.0,12.2751
6.57194,32553.0,9039.0,19.5635
3.26038,29757.0,10439.0,38.0820
7.27442,32107.0,8967.0,18.6111
4.49137,32204.0,9798.0,29.6032
2.64331,28833.0,9992.0,32.1693
5.65152,31089.0,9130.0,20.7672
2.94469,28626.0,9212.0,21.8519
4.60815,30875.0,8889.0,17.5794
6.68303,32200.0,8986.0,18.8624
2.84602,29569.0,10146.0,34.2063
6.07373,30647.0,8766.0,15.9524
7.54173,27765.0,8614.0,13.9418
4.83387,30863.0,9199.0,21.6799
NEIGHBORHOODS:    12
MAX_NO_IMPROV:    10
MAX_NO_IMPROV_LS: 10
NUMBER OF RUNS:   1
Time,Initial Cost,Minimized Cost,Error Rate
4.63123,31859.0,10513.0,39.0608
