NEIGHBORHOODS,    12
MAX_NO_IMPROV,    10
MAX_NO_IMPROV_LS, 20
NUMBER OF RUNS,   20
Time,Initial Cost,Minimized Cost,Error Rate
12.18756,32866.0,8628.0,14.3635
9.22062,28652.0,9455.0,25.3253
4.97195,32666.0,9664.0,28.0956
4.39756,31970.0,9430.0,24.9939
5.36951,30202.0,9246.0,22.5550
4.98408,26585.0,8992.0,19.1883
7.35865,29265.0,9083.0,20.3945
7.67301,26359.0,8689.0,15.1720
6.66710,31170.0,9111.0,20.7656
7.37518,30809.0,8821.0,16.9217
7.55002,28967.0,9101.0,20.6331
6.56161,28534.0,9503.0,25.9615
4.55815,31681.0,8521.0,12.9452
4.85231,28428.0,8883.0,17.7435
6.12159,32094.0,8520.0,12.9320
6.49605,28579.0,8889.0,17.8230
15.46882,31385.0,8333.0,10.4533
7.14005,30092.0,9536.0,26.3990
8.91930,29837.0,8762.0,16.1396
6.81697,27566.0,8483.0,12.4415
AVG TIME, 7.23450
MIN_COST, 8333.0
AVG_COST, 8982.5
MIN_ERR, %10.4533
AVG_ERR, %19.0624


NEIGHBORHOODS,    12
MAX_NO_IMPROV,    10
MAX_NO_IMPROV_LS, 40
NUMBER OF RUNS,   20
Time,Initial Cost,Minimized Cost,Error Rate
8.73441,30813.0,8860.0,17.4386
19.54160,31391.0,8179.0,8.4120
18.15929,28854.0,8018.0,6.2780
12.72739,29935.0,8752.0,16.0071
17.03175,30090.0,8412.0,11.5004
10.48484,30346.0,8400.0,11.3414
9.98275,29481.0,9049.0,19.9438
3.92649,30066.0,9061.0,20.1029
12.81875,27643.0,8355.0,10.7449
14.62060,31109.0,8660.0,14.7876
8.78424,30496.0,8375.0,11.0100
14.50040,28352.0,8489.0,12.5211
9.74126,30671.0,8789.0,16.4975
9.83371,28922.0,8873.0,17.6109
11.33840,30186.0,8633.0,14.4298
10.58510,30378.0,8678.0,15.0262
8.71141,29188.0,9122.0,20.9114
11.26985,30758.0,8313.0,10.1882
7.57095,31740.0,8840.0,17.1735
12.02117,31986.0,8281.0,9.7640
AVG TIME, 11.61922
MIN_COST, 8018.0
AVG_COST, 8607.0
MIN_ERR, %6.2780
AVG_ERR, %14.0845


NEIGHBORHOODS,    12
MAX_NO_IMPROV,    10
MAX_NO_IMPROV_LS, 60
NUMBER OF RUNS,   20
Time,Initial Cost,Minimized Cost,Error Rate
11.17672,31975.0,8961.0,18.7774
7.83019,29394.0,8975.0,18.9629
19.18522,26546.0,7966.0,5.5887
10.62350,30429.0,8787.0,16.4710
14.24935,29771.0,8474.0,12.3222
9.68293,29581.0,8428.0,11.7125
