NEIGHBORHOODS:    12
MAX_NO_IMPROV:    10
MAX_NO_IMPROV_LS: 60
NUMBER OF RUNS:   20
Time,Initial Cost,Minimized Cost,Error Rate
11.17672,31975.0,8961.0,18.7774
7.83019,29394.0,8975.0,18.9629
19.18522,26546.0,7966.0,5.5887
10.62350,30429.0,8787.0,16.4710
14.24935,29771.0,8474.0,12.3222
9.68293,29581.0,8428.0,11.7125
10.56937,27503.0,8409.0,11.4607
11.60480,27818.0,8216.0,8.9025
6.56396,25885.0,8569.0,13.5814
10.98157,30650.0,8055.0,6.7684
14.86802,29420.0,8777.0,16.3385
20.06922,32300.0,8287.0,9.8436
10.75207,29775.0,8250.0,9.3531
5.51684,31909.0,8250.0,9.3531
10.17665,31272.0,8314.0,10.2014
9.77376,29693.0,8529.0,13.0513
11.32968,30305.0,8179.0,8.4120
18.96013,26982.0,8357.0,10.7714
10.39976,29658.0,8326.0,10.3605
6.02658,30293.0,8895.0,17.9026
AVG TIME: 11.51702
MIN_COST: 7966.0
AVG_COST: 8450.2
MIN_ERR: %5.5887
AVG_ERR: %12.0068
