NEIGHBORHOODS   ,12
MAX_NO_IMPROV   ,20
MAX_NO_IMPROV_LS,20
NUMBER OF RUNS  ,20
Time,Initial Cost,Minimized Cost,Error Rate
59.06545,170090.0,26167.0,22.9537
62.88077,165415.0,27033.0,27.0228
48.17786,163419.0,26045.0,22.3804
40.56032,165003.0,27628.0,29.8186
56.62910,177368.0,28318.0,33.0608
63.21488,170983.0,25679.0,20.6607
54.36515,179245.0,26622.0,25.0916
21.97156,168964.0,31651.0,48.7219
72.42577,169051.0,25601.0,20.2941
40.21804,177421.0,28974.0,36.1432
63.04673,190060.0,27012.0,26.9242
20.35159,173020.0,31788.0,49.3657
48.70200,175559.0,26509.0,24.5607
77.20079,163726.0,24848.0,16.7559
44.42509,181895.0,27910.0,31.1437
65.89931,183992.0,25968.0,22.0186
41.80587,168036.0,29135.0,36.8997
93.35637,169490.0,25805.0,21.2527
27.47127,162613.0,30684.0,44.1782
26.24847,168611.0,27773.0,30.5000
AVG TIME,51.4008195
MIN_COST,24848.0
AVG_COST,27557.5
MIN_ERR ,16.7559
AVG_ERR ,29.487359999999995
